name,match,synonym(s),cultivar,ipen,metadata (line rest),metadata (next lines),raw
Abutilon theophrasti Medik,1,,,RO-0-DR-004115,4115 ,[],4115  Abutilon theophrasti Medik. RO-0-DR-004115
Hibiscus moscheutos L,1,,,US-0-DR-013008,13008 ssp. palustris (L.) R.T. Clausen ,[],13008  Hibiscus moscheutos L. ssp. palustris (L.) R.T. Clausen US-0-DR-013008
Hibiscus trionum L,1,,,BE-0-DR-004117,4117 ,[],4117  Hibiscus trionum L. BE-0-DR-004117
Lavatera trimestris L,1,,,PT-0-DR-006281,6281 ,[],6281  Lavatera trimestris L. PT-0-DR-006281
Malope trifida Cav,1,,,xx-0-DR-001290,1290 ,[],1290 Malope trifida Cav. xx-0-DR-001290
Modiola caroliniana L G Don,1,,,xx-0-DR-008967,8967 ,[],8967 Modiola caroliniana (L.) G. Don xx-0-DR-008967
Ibicella lutea,1,,,xx-0-DR-004119,4119 (Lindl.) Van Eseltine ,[],4119 Ibicella lutea (Lindl.) Van Eseltine xx-0-DR-004119
Proboscidea fragrans Lindl Decne,1,,,xx-0-DR-004120,4120 ,[],4120 Proboscidea fragrans (Lindl.) Decne. xx-0-DR-004120
Helonias bullata L,1,,,xx-0-DR-001798,1798 ,[],1798 Helonias bullata L. xx-0-DR-001798
Menispermum canadense L,1,,,CA-0-DR-011481,11481 ,[],11481  Menispermum canadense L. CA-0-DR-011481
Mirabilis jalapa L,1,,,MX-0-DR-004122,4122 ,[],4122  Mirabilis jalapa L. MX-0-DR-004122
Mirabilis longiflora L,1,,,xx-0-DR-004121,4121 ,[],4121 Mirabilis longiflora L. xx-0-DR-004121
Mirabilis viscosa Cav,1,,,xx-0-DR-001572,1572 ,[],1572 Mirabilis viscosa Cav. xx-0-DR-001572
Clarkia amoena,1,,,US-0-DR-013482,13482 (Lehm.) A. Nelson et J.F. Macbr. ,[],13482  Clarkia amoena (Lehm.) A. Nelson et J.F. Macbr. US-0-DR-013482
Clarkia pulchella Pursh,1,,,xx-0-DR-004123,4123 ,[],4123 Clarkia pulchella Pursh xx-0-DR-004123
Clarkia unguiculata Lindl,1,,,US-0-DR-006892,6892 ,[],6892  Clarkia unguiculata Lindl. US-0-DR-006892
Oenothera kunthiana Spach Munz,1,,,xx-0-DR-003797,3797 ,[],3797 Oenothera kunthiana (Spach) Munz xx-0-DR-003797
Oenothera lindheimeri,1,,,xx-0-DR-013487,13487 (Engelm. et A. Gray) W.L. Wagner et Hoch ,[],13487 Oenothera lindheimeri (Engelm. et A. Gray) W.L. Wagner et Hoch xx-0-DR-013487
Oenothera rosea LHr ex Aiton,1,,,CL-0-DR-011027,11027 ,[],11027  Oenothera rosea L'Hér. ex Aiton CL-0-DR-011027
Oenothera tetraptera Cav,1,,,PE-0-DR-004701,4701 ,[],4701  Oenothera tetraptera Cav. PE-0-DR-004701
Oxalis lasiandra Zucc,1,,,xx-0-DR-004127,4127 ,[],4127 Oxalis lasiandra Zucc. xx-0-DR-004127
Oxalis triangularis A StHil,1,,,xx-0-DR-000668,668 ,[],668 Oxalis triangularis A. St.-Hil. xx-0-DR-000668
Dicranostigma franchetianum Prain Fedde,1,,,xx-0-DR-004136,4136 ,[],4136 Dicranostigma franchetianum (Prain) Fedde xx-0-DR-004136
Eschscholzia californica Cham,1,,,BE-0-DR-003892,3892 ,[],3892  Eschscholzia californica Cham. BE-0-DR-003892
Glaucium flavum Crantz,1,,,GR-0-DR-004990,4990 ,[],4990  Glaucium flavum Crantz GR-0-DR-004990
Macleaya cordata Willd R Br,1,,,JP-0-DR-007577,7577 ,[],7577  Macleaya cordata (Willd.) R. Br. JP-0-DR-007577
Passiflora gracilis,1,,,xx-0-DR-007168,7168 J. Jacq. ex Link ,[],7168 Passiflora gracilis J. Jacq. ex Link xx-0-DR-007168
Penthorum sedoides L,1,,,CA-0-DR-013916,13916 ,[],13916  Penthorum sedoides L. CA-0-DR-013916
Digitalis ferruginea L,1,,,TR-0-DR-016382,16382 ,[],16382  Digitalis ferruginea L. TR-0-DR-016382
Penstemon barbatus Cav Roth,1,,,US-0-DR-014196,14196 var. torreyi (Benth.) A. Gray ,['8'],14196  Penstemon barbatus (Cav.) Roth var. torreyi (Benth.) A. Gray US-0-DR-014196
Bouteloua curtipendula Michx Torr,1,,,US-0-DR-008599,8599 ,[],8599  Bouteloua curtipendula (Michx.) Torr. US-0-DR-008599
Bouteloua gracilis,1,,,xx-0-DR-007177,"7177 (Humb., Bonpl. et Kunth) Lag. ex Griffiths ",[],"7177 Bouteloua gracilis (Humb., Bonpl. et Kunth) Lag. ex Griffiths xx-0-DR-007177"
Buchloe dactyloides Nutt Engelm,1,,,xx-0-DR-007955,7955 ,[],7955 Buchloe dactyloides (Nutt.) Engelm. xx-0-DR-007955
Eragrostis trichodes,1,,,xx-0-DR-007959,7959 (Nutt.) Alph. Wood ,[],7959 Eragrostis trichodes (Nutt.) Alph. Wood xx-0-DR-007959
Festuca valesiaca Schleich ex Gaudin,1,,,DE-0-DR-016556,16556 ,[],16556  Festuca valesiaca Schleich. ex Gaudin DE-0-DR-016556
Koeleria vallesiana Honck Gaudin,1,,,CH-0-DR-002263,2263 ,[],2263  Koeleria vallesiana (Honck.) Gaudin CH-0-DR-002263
Melica transsilvanica Schur,1,,,DE-0-DR-013963,13963 ,[],13963  Melica transsilvanica Schur DE-0-DR-013963
Panicum maximum Jacq,1,,,ZA-0-DR-004140,4140 ,[],4140  Panicum maximum Jacq. ZA-0-DR-004140
Phleum phleoides,1,,,DE-0-DR-016818,16818 (L.) H. Karst. ,[],16818  Phleum phleoides (L.) H. Karst. DE-0-DR-016818
Schizachyrium scoparium Michx Nash,1,,,US-0-DR-008034,8034 ,[],8034  Schizachyrium scoparium (Michx.) Nash US-0-DR-008034
Persicaria orientalis L Spach,1,,,xx-0-DR-002096,2096 ,[],2096 Persicaria orientalis (L.) Spach xx-0-DR-002096
Clematis heracleifolia DC,1,,,KR-0-DR-007462,7462 var. urticifolia (Nakai ex Kitag.) U.C. La ,[],7462  Clematis heracleifolia DC. var. urticifolia (Nakai ex Kitag.) U.C. La KR-0-DR-007462
Clematis integrifolia L,1,,,RU-0-DR-004069,4069 ,[],4069  Clematis integrifolia L. RU-0-DR-004069
Clematis recta L,1,,,DE-0-DR-010050,10050 ,[],10050  Clematis recta L. DE-0-DR-010050
Clematis serratifolia Rehder,1,,,RU-0-DR-010369,10369 ,[],10369  Clematis serratifolia Rehder RU-0-DR-010369
Eranthis hyemalis L Salisb,1,,,xx-0-DR-004704,4704 ,[],4704 Eranthis hyemalis (L.) Salisb. xx-0-DR-004704
Reseda alba L,1,,,IT-0-DR-001570,1570 ,[],1570  Reseda alba L. IT-0-DR-001570
Reseda lutea L,1,,,FR-0-DR-000531,531 ,[],531  Reseda lutea L. FR-0-DR-000531
Hovenia dulcis Thunb,1,,,xx-0-DR-005733,5733 ,[],5733 Hovenia dulcis Thunb. xx-0-DR-005733
Chaenomeles speciosa Sweet Nakai,1,,,xx-0-DR-004703,4703 ,[],4703 Chaenomeles speciosa (Sweet) Nakai xx-0-DR-004703
Drymocallis fissa Nutt Rydb,1,,,US-0-DR-006698,6698 ,[],6698  Drymocallis fissa (Nutt.) Rydb. US-0-DR-006698
Drymocallis rupestris L Sojk,1,,,DE-0-DR-017275,17275 ,[],17275  Drymocallis rupestris (L.) Soják DE-0-DR-017275
Prinsepia uniflora Batalin,1,,,xx-0-DR-002274,2274 ,[],2274 Prinsepia uniflora Batalin xx-0-DR-002274
Sorbus domestica L,1,,,xx-0-DR-005638,5638 ,[],5638 Sorbus domestica L. xx-0-DR-005638
Asperula orientalis,1,,,xx-0-DR-006719,6719 Boiss. et Hohen. ,[],6719 Asperula orientalis Boiss. et Hohen. xx-0-DR-006719
Paederia scandens Lour Merr,1,,,JP-0-DR-007269,7269 var. mairei (Lev.) Hara ,[],7269  Paederia scandens (Lour.) Merr. var. mairei (Lev.) Hara JP-0-DR-007269
Phellodendron amurense Rupr,1,,,xx-0-DR-003012,3012 ,[],3012 Phellodendron amurense Rupr. xx-0-DR-003012
Zanthoxylum simulans Hance,1,,,xx-0-DR-001836,1836 ,[],1836 Zanthoxylum simulans Hance xx-0-DR-001836
Idesia polycarpa Maxim,1,,,xx-0-DR-017447,17447 ,[],17447 Idesia polycarpa Maxim. xx-0-DR-017447
Hyoscyamus albus L,1,,,ES-0-DR-004086,4086 ,[],4086  Hyoscyamus albus L. ES-0-DR-004086
Jaltomata procumbens,1,,,xx-0-DR-001844,1844 (Cav.) J.L. Gentry ,[],1844 Jaltomata procumbens (Cav.) J.L. Gentry xx-0-DR-001844
Petunia axillaris,1,,,xx-0-DR-004104,"4104 (Lam.) Britton, Sterns et Poggenb. ",[],"4104 Petunia axillaris (Lam.) Britton, Sterns et Poggenb. xx-0-DR-004104"
Petunia integrifolia,1,,,PY-0-DR-004105,4105 (Hook.) Schinz et Thell. ,[],4105  Petunia integrifolia (Hook.) Schinz et Thell. PY-0-DR-004105
Solanum aethiopicum L,1,,,xx-0-DR-001859,1859 ,[],1859 Solanum aethiopicum L. xx-0-DR-001859
Solanum citrullifolium A Braun,1,,,xx-0-DR-010702,10702 ,[],10702 Solanum citrullifolium A. Braun xx-0-DR-010702
Daphne oleoides Schreb,1,,,FR-0-DR-001146,1146 ,[],1146  Daphne oleoides Schreb. FR-0-DR-001146
Paris quadrifolia L,1,,,DE-0-DR-010524,10524 ,[],10524  Paris quadrifolia L. DE-0-DR-010524
Urtica pilulifera L,1,,,TR-0-DR-004656,4656 ,[],4656  Urtica pilulifera L. TR-0-DR-004656
Callicarpa japonica Thunb,1,,,JP-0-DR-000467,467 ,[],467  Callicarpa japonica Thunb. JP-0-DR-000467
Verbena bonariensis L,1,,,IT-0-DR-006595,6595 ,[],6595  Verbena bonariensis L. IT-0-DR-006595
Verbena stricta Vent,1,,,US-0-DR-013824,13824 ,[],13824  Verbena stricta Vent. US-0-DR-013824
Viola canadensis L,1,,,xx-0-DR-004220,4220 ,"['10', 'SAMEN AUS DEN GEWÄCHSHÄUSERN DES BOTANISCHEN GARTENS', 'Seeds collected in the greenhouses of the Botanical Garden']",4220 Viola canadensis L. xx-0-DR-004220
Pseuderanthemum alatum Nees Radlk,1,,,xx-0-DR-001700,1700 ,[],1700 Pseuderanthemum alatum (Nees) Radlk. xx-0-DR-001700
Schaueria flavicoma,1,,,xx-0-DR-004736,4736 (Lindl.) N.E. Br. ,[],4736 Schaueria flavicoma (Lindl.) N.E. Br. xx-0-DR-004736
Lithops salicola L Bolus,1,,,xx-0-DR-004732,4732 ,[],4732 Lithops salicola L. Bolus xx-0-DR-004732
Arthropodium cirrhatum,1,,,xx-0-DR-005033,5033 (G. Forst.) R. Br. ,[],5033 Arthropodium cirrhatum (G. Forst.) R. Br. xx-0-DR-005033
Mandevilla laxa,1,,,xx-0-DR-011376,11376 (Ruiz et Pav.) Woodson ,[],11376 Mandevilla laxa (Ruiz et Pav.) Woodson xx-0-DR-011376
Rauvolfia tetraphylla L,1,,,xx-0-DR-001635,1635 ,[],1635 Rauvolfia tetraphylla L. xx-0-DR-001635
Saruma henryi Oliv,1,,,TW-0-HEID-100796,15115 ,[],15115  Saruma henryi Oliv. TW-0-HEID-100796
Berkheya purpurea,1,,,ZA-0-U-2005BL01021,15218 (DC.) Mast. ,[],15218  Berkheya purpurea (DC.) Mast. ZA-0-U-2005BL01021
Senecio barbertonicus Klatt,1,,,xx-0-DR-008194,8194 ,[],8194 Senecio barbertonicus Klatt xx-0-DR-008194
Tecoma fulva,1,,,AR-0-DR-014113,14113 (Cav.) D. Don ssp. garrocha (Hieron.) J.R.I. Wood ,[],14113  Tecoma fulva (Cav.) D. Don ssp. garrocha (Hieron.) J.R.I. Wood AR-0-DR-014113
Echinocactus grusonii Hildm,1,,,xx-0-DR-004809,4809 ,[],4809 Echinocactus grusonii Hildm. xx-0-DR-004809
Echinopsis crassicaulis,1,,,xx-0-DR-005024,5024 (R. Kiesling) H. Friedrich et Glaetzle ,[],5024  Echinopsis crassicaulis (R. Kiesling) H. Friedrich et Glaetzle xx-0-DR-005024
